word,embedding
im,"[-0.036671318113803864, 0.008903849869966507, -0.0019219405949115753, 0.048208583146333694, 0.024662625044584274]"
young,"[-0.04649367555975914, -0.030752146616578102, -0.0429808609187603, 0.02123809978365898, -0.047303296625614166]"
jacksons,"[-0.00020045042037963867, -0.020485520362854004, -0.04589095339179039, 0.02634279802441597, -0.020697785541415215]"
four,"[0.03251441940665245, -0.04104076698422432, 0.04373593255877495, 0.020047392696142197, 0.005014527589082718]"
another,"[-0.047959208488464355, -0.018119774758815765, -0.034305669367313385, 0.03251821920275688, 0.016106639057397842]"
something,"[0.024500835686922073, 0.026102114468812943, -0.04272269085049629, -0.029882336035370827, -0.0022523999214172363]"
even,"[-0.04226718097925186, 0.04647734388709068, -0.0010765306651592255, -0.031220590695738792, 0.035519588738679886]"
•,"[0.02217874303460121, 0.014615047723054886, 0.02968689426779747, 0.029491674154996872, 0.04110464081168175]"
won,"[0.04181159660220146, 0.024285804480314255, 0.029407251626253128, 0.027614567428827286, 0.04849771037697792]"
prosecutors,"[0.018867801874876022, 0.004431284964084625, -0.00632389634847641, 0.017360929399728775, 0.049603406339883804]"
month,"[-0.0043913833796978, 0.04744857922196388, -0.040895890444517136, 0.04019594565033913, 0.01774776354432106]"
january,"[0.027560178190469742, -0.020602012053132057, 0.03486231341958046, 0.03529287502169609, 0.03559482470154762]"
charges,"[0.033740926533937454, 0.011696122586727142, -0.04510224983096123, -0.01987171173095703, -0.0403972864151001]"
fbi,"[0.04266836866736412, 0.002619504928588867, -0.001745115965604782, 0.003556586802005768, -0.021714938804507256]"
20,"[-0.007020734250545502, -0.003849029541015625, 0.04856334999203682, 0.0001785270869731903, -0.04830055311322212]"
should,"[0.008213259279727936, -0.012646853923797607, -0.016239561140537262, -0.0075376518070697784, 0.04874071851372719]"
miles,"[0.012074779719114304, 0.021382901817560196, -0.03603125736117363, 0.0235140360891819, 0.01557917520403862]"
known,"[-0.015380490571260452, 0.008231472223997116, -0.0330958254635334, -0.021451367065310478, -0.028552984818816185]"
alleged,"[-0.0006248839199542999, 0.024117063730955124, 0.009186577051877975, 0.00017805024981498718, 0.04195692762732506]"
king,"[0.03027724102139473, -0.0029445886611938477, 0.009397674351930618, 0.04136992618441582, 0.014691624790430069]"
1,"[0.018888261169195175, -0.008253909647464752, -0.04040960222482681, 0.03829843923449516, -0.03012981452047825]"
public,"[-0.01728193834424019, 0.016892042011022568, 0.04868456348776817, -0.029028594493865967, 0.02061602845788002]"
league,"[-0.0021486058831214905, -0.01701868698000908, 0.01564115658402443, 0.04924197122454643, -0.04435596615076065]"
house,"[-0.0375848188996315, 0.0331885926425457, 0.00604640319943428, -0.03648180887103081, 0.005435418337583542]"
here,"[0.0022262558341026306, -0.01803276687860489, 0.00405501201748848, 0.015296701341867447, 0.02393411472439766]"
second,"[-0.005549013614654541, 0.04301018640398979, -0.0365457758307457, -0.040217410773038864, 0.04913557693362236]"
federal,"[-0.018429815769195557, 0.0065670013427734375, -0.031152917072176933, 0.02649453654885292, 0.005396924912929535]"
national,"[0.008905459195375443, 0.030410517007112503, 0.04955257102847099, 0.01818874105811119, -0.03732661157846451]"
hit,"[0.005811773240566254, -0.028400791808962822, -0.022372497245669365, -0.00680382177233696, -0.0392007939517498]"
each,"[-0.0027366653084754944, 0.044310931116342545, 0.03618873283267021, 0.01482529565691948, 0.03211723640561104]"
american,"[0.03397483751177788, -0.00586237758398056, -0.019732749089598656, -0.03639059141278267, 0.031287696212530136]"
right,"[0.044538404792547226, -0.03758273273706436, -0.04353722557425499, 0.024691496044397354, 0.025745820254087448]"
since,"[-0.00014524534344673157, 0.030331101268529892, -0.03809462860226631, -0.040264297276735306, 0.004481017589569092]"
late,"[0.033672820776700974, -0.01733306795358658, -0.032681990414857864, -0.032181516289711, 0.028141047805547714]"
erdogan,"[-0.04864854738116264, -0.034940291196107864, 0.043152835220098495, -0.02433847263455391, -0.03292737156152725]"
sources,"[0.01735292747616768, 0.034706536680459976, -0.006115972995758057, -0.037975192070007324, 0.008695483207702637]"
seen,"[0.02365029975771904, 0.04465463384985924, 0.009678401052951813, 0.03659253194928169, 0.01431366428732872]"
saturday,"[-0.006518889218568802, -0.04068422317504883, 0.011986732482910156, -0.04560507461428642, -0.03371167182922363]"
iraqi,"[-0.033406294882297516, 0.03923148289322853, -0.0007171407341957092, -0.030478239059448242, -0.025357140228152275]"
diana,"[0.04896867647767067, 0.019041862338781357, -0.02967052534222603, -0.04417942836880684, 0.02243879809975624]"
support,"[0.0488038994371891, 0.03220108523964882, -0.008421789854764938, -0.03348598629236221, 0.027585532516241074]"
show,"[-0.04093816131353378, -0.0201589222997427, -0.03217196464538574, 0.04527496173977852, -0.010128878057003021]"
history,"[0.04842659458518028, 0.012633930891752243, -0.014651477336883545, -0.004549980163574219, -0.03217574208974838]"
agency,"[0.025470685213804245, 0.017348889261484146, 0.039243604987859726, -0.00605330616235733, -0.032799385488033295]"
war,"[-0.04274165630340576, -0.049922239035367966, -0.009924471378326416, 0.0016487464308738708, -0.014271698892116547]"
troops,"[-0.034647367894649506, 0.03285862132906914, -0.041556406766176224, 0.020414981991052628, -0.013574529439210892]"
les,"[0.018123779445886612, 0.010769687592983246, 0.012156058102846146, -0.021747339516878128, -0.01008589193224907]"
group,"[0.016459230333566666, 0.0056578628718853, 0.016038183122873306, 0.01562538370490074, 0.020173300057649612]"
minister,"[0.033874575048685074, -0.026053322479128838, -0.01939288340508938, -0.04839669540524483, -0.0455133318901062]"
great,"[-0.03196056932210922, 0.03610224649310112, 0.040696728974580765, -0.008918702602386475, 0.002827811986207962]"
away,"[0.020801905542612076, 0.005041979253292084, -0.01098792627453804, 0.02298751100897789, -0.04930431768298149]"
attack,"[0.03297955170273781, -0.045458972454071045, -0.030582142993807793, 0.005433548241853714, 0.023105155676603317]"
woman,"[0.012189935892820358, 0.032306503504514694, 0.04405752196907997, -0.006743490695953369, -0.009788073599338531]"
well,"[-0.013157881796360016, 0.008955907076597214, -0.019270503893494606, -0.01346985250711441, 0.0477619431912899]"
technology,"[0.028424743562936783, 0.03081914409995079, -0.04514448717236519, 0.005203139036893845, 0.027574311941862106]"
men,"[-0.0395001545548439, -0.03908184915781021, 0.027001824229955673, 0.035392310470342636, -0.015552889555692673]"
justice,"[-0.007122695446014404, -0.035653483122587204, 0.023130785673856735, 0.024411704391241074, -0.020358813926577568]"
always,"[-0.03366553783416748, -0.02110574208199978, 0.043440114706754684, 0.04607299342751503, 0.0448356531560421]"
email,"[-0.025781214237213135, 0.014852430671453476, -0.015396416187286377, -0.0026426687836647034, 0.0480349175632]"
early,"[0.03846580907702446, -0.030575012788176537, 0.03643469884991646, 0.01606389507651329, 0.03872981294989586]"
process,"[-0.024674618616700172, 0.005982410162687302, 0.023819569498300552, -0.013311196118593216, 0.041546884924173355]"
became,"[-0.043767403811216354, 0.007878445088863373, 0.0031087175011634827, 0.03927912935614586, 0.04956826940178871]"
recent,"[-0.020332086831331253, 0.011796344071626663, 0.013984683901071548, 0.010625530034303665, 0.0007122382521629333]"
nations,"[-0.021260691806674004, -0.03892543166875839, -0.03386344015598297, -0.04278312996029854, 0.034497667104005814]"
around,"[0.04487701877951622, 0.021325815469026566, -0.012403059750795364, 0.03462698683142662, -0.005444668233394623]"
york,"[-0.04132332652807236, -0.04357682541012764, 0.005654860287904739, 0.028076890856027603, -0.03974062204360962]"
murder,"[-0.007043518126010895, -0.019356155768036842, 0.04785111919045448, -0.034156132489442825, 0.03783169016242027]"
dead,"[0.0003206022083759308, -0.006983257830142975, -0.029870176687836647, -0.042527247220277786, -0.022251440212130547]"
peres,"[-0.023934531956911087, 0.012693259865045547, 0.030067909508943558, 0.0002339482307434082, 0.03157949820160866]"
months,"[0.042130280286073685, 0.011239111423492432, 0.031532738357782364, -0.03192352131009102, 0.037702109664678574]"
come,"[-0.007932759821414948, 0.018483374267816544, -0.026366114616394043, -0.01633906364440918, 0.04377441480755806]"
milan,"[-0.013507582247257233, 0.0118650421500206, 0.031586889177560806, 0.001622617244720459, 0.04413511976599693]"
law,"[-0.0013385899364948273, 0.015929486602544785, -0.030978048220276833, 0.02734788879752159, -0.023127639666199684]"
among,"[-0.0008039101958274841, -0.04755059629678726, -0.03924834728240967, 0.04818933084607124, -0.01479576900601387]"
washington,"[0.04796972498297691, -0.006904829293489456, -0.024562275037169456, -0.04743889719247818, 0.03001309558749199]"
shot,"[-0.04565724357962608, 0.03153058513998985, -0.02520204894244671, 0.047045934945344925, -0.023929715156555176]"
prime,"[0.04617946222424507, 0.0037542805075645447, -0.0032075420022010803, -0.018787825480103493, 0.045738447457551956]"
2,"[-0.012005351483821869, -0.01832907274365425, -0.022099828347563744, -0.03437602519989014, -0.021634459495544434]"
using,"[0.03834040090441704, 0.0455152727663517, -0.020098794251680374, -0.028041386976838112, -0.001172732561826706]"
members,"[-0.02430631034076214, -0.048731911927461624, 0.04897889122366905, -0.026560736820101738, 0.0009370222687721252]"
mcwethy,"[-0.017853952944278717, 0.013261888176202774, -0.039663124829530716, 0.014868590980768204, -0.0181223526597023]"
incident,"[-0.004889093339443207, -0.035925544798374176, 0.046114955097436905, -0.010259140282869339, -0.0007588155567646027]"
director,"[-0.04902010038495064, 0.03751230612397194, -0.02568591944873333, 0.040162812918424606, 0.04375931993126869]"
car,"[0.018255721777677536, 0.044426534324884415, 0.02246919646859169, -0.01839900016784668, 0.015246082097291946]"
weeks,"[0.010406769812107086, -0.04100707918405533, 0.039680276066064835, 0.044879425317049026, 0.02740258350968361]"
thats,"[0.040048446506261826, 0.008926939219236374, -0.008255373686552048, -0.03014547936618328, -0.0013384819030761719]"
california,"[-0.04066963121294975, -0.031468845903873444, 0.04437077417969704, 0.015411283820867538, 0.04298379644751549]"
why,"[-0.048548031598329544, 0.0330892838537693, 0.014511849731206894, -0.0291419867426157, 0.010428238660097122]"
story,"[-0.0001448988914489746, 0.0020728223025798798, 0.04584064707159996, 0.006186820566654205, -0.010119806975126266]"
asked,"[0.017073441296815872, -0.012975823134183884, 0.0171486996114254, 0.03662911430001259, 0.019341420382261276]"
area,"[-0.015658438205718994, -0.011063776910305023, 0.014187607914209366, 0.04854192957282066, 0.034232448786497116]"
weapons,"[-0.013866402208805084, 0.04174495115876198, -0.01902536116540432, 0.012770626693964005, 0.032730165868997574]"
too,"[-0.04477965831756592, 0.040512148290872574, -0.04068305343389511, -0.03496261686086655, -0.037449490278959274]"
presidential,"[0.04605504497885704, 0.019856777042150497, -0.02572035789489746, 0.04100104793906212, 0.011239755898714066]"
kind,"[-0.04581484943628311, -0.040141236037015915, -0.028846537694334984, 0.005528651177883148, 0.010826300829648972]"
final,"[-0.036583878099918365, 0.027682367712259293, 0.036249253898859024, -0.036015380173921585, 0.0016549229621887207]"
england,"[0.008605848997831345, 0.0021737217903137207, 0.03963996097445488, 0.0032395124435424805, -0.04929084703326225]"
protesters,"[-0.00910932943224907, 0.004666663706302643, -0.026044536381959915, 0.03191547468304634, -0.005670618265867233]"
need,"[-0.011961936950683594, 0.015540268272161484, 0.03299523517489433, -0.004890989512205124, -0.04397810623049736]"
head,"[-0.012665711343288422, -0.024577761068940163, -0.02526909112930298, 0.01160363107919693, 0.03811639919877052]"
several,"[-0.026581788435578346, 0.02034381404519081, -0.035372912883758545, 0.0011573433876037598, 0.0012345090508460999]"
media,"[0.029252562671899796, -0.03576856851577759, -0.01180410385131836, -0.030946040526032448, -0.005112875252962112]"
father,"[-0.009003899991512299, -0.03414318710565567, -0.036651670932769775, -0.015191994607448578, 0.018105734139680862]"
released,"[0.043586838990449905, 0.03024018183350563, 0.0026098713278770447, -0.041304171085357666, 0.018027890473604202]"
held,"[-0.00020559877157211304, 0.0015818364918231964, -0.01852564886212349, -0.023432720452547073, 0.03140508010983467]"
force,"[0.023571323603391647, -0.025744128972291946, 0.039130713790655136, -0.02874577045440674, 0.02401360496878624]"
dalai,"[-0.036993373185396194, 0.0401209332048893, 0.002853311598300934, -0.032286904752254486, -0.011430002748966217]"
army,"[0.03544360771775246, 0.02216649428009987, 0.03334007039666176, 0.04469064250588417, 0.016221072524785995]"
son,"[0.00010974332690238953, 0.008040379732847214, -0.031943678855895996, 0.027690935879945755, -0.0014500021934509277]"
outside,"[0.040084969252347946, -0.04524597153067589, -0.014696050435304642, -0.022986305877566338, 0.024266373366117477]"
little,"[0.004286684095859528, -0.03214987367391586, 0.04281698539853096, -0.01114865392446518, 0.03868228569626808]"
following,"[-0.017592094838619232, 0.012398920953273773, -0.03415914624929428, -0.023976100608706474, 0.009761534631252289]"
employee,"[-0.018204819411039352, 0.01672181859612465, -0.009972084313631058, -0.018178511410951614, -0.04821636900305748]"
10,"[0.04506329074501991, 0.02912304177880287, -0.04988047108054161, -0.03861735016107559, 0.04048522934317589]"
start,"[-0.043821778148412704, 0.02767917886376381, -0.041918061673641205, -0.027796341106295586, 0.048760440200567245]"
decision,"[0.012895975261926651, -0.005763005465269089, 0.014604035764932632, 0.00878523662686348, -0.024491477757692337]"
china,"[0.018458876758813858, 0.02184697613120079, -0.02307267300784588, 0.015122856944799423, -0.00724710151553154]"
able,"[-0.040382932871580124, -0.030192077159881592, 0.023624073714017868, -0.012228965759277344, 0.017194975167512894]"
victory,"[-0.033510446548461914, -0.015223979949951172, 0.01723489537835121, 0.030070189386606216, -0.022991573438048363]"
airport,"[0.03201119974255562, -8.556991815567017e-05, 0.019203636795282364, -0.014891993254423141, -0.005309797823429108]"
stage,"[0.02743002399802208, -0.027612758800387383, -0.013162575662136078, -0.007851004600524902, 0.04022732004523277]"
points,"[-0.03559379652142525, -0.006370771676301956, -0.046646155416965485, -0.0062911733984947205, -0.005948115140199661]"
march,"[-0.005490504205226898, 0.03829485550522804, -0.022494470700621605, 0.04159208759665489, 0.030281249433755875]"
carter,"[-0.028866184875369072, 0.00805293396115303, -0.04984397813677788, 0.002415776252746582, -0.02920243702828884]"
things,"[-0.04156494140625, 0.0026136860251426697, 0.0014533177018165588, 0.028138231486082077, 0.023276735097169876]"
drug,"[-0.004000376909971237, -0.048107076436281204, 0.010854698717594147, 0.04524698480963707, 0.014251355081796646]"
announced,"[-0.01998080126941204, 0.008477650582790375, -0.03791961818933487, -0.034389544278383255, -0.006310451775789261]"
sex,"[-0.018747616559267044, -0.045882534235715866, 0.020683351904153824, 0.030653659254312515, -0.016263864934444427]"
materials,"[0.016232524067163467, 0.03019707277417183, 0.026468466967344284, -0.036833297461271286, 0.03712945058941841]"
groups,"[0.03403404727578163, 0.014648053795099258, 0.028462354093790054, 0.0109374038875103, 0.036470916122198105]"
doing,"[-0.00027475506067276, 0.03272287920117378, 0.008231867104768753, 0.012561354786157608, -0.03518328815698624]"
charged,"[-0.01352003961801529, -0.006873011589050293, 0.02118070051074028, -0.028430772945284843, 0.02163224294781685]"
2002,"[0.038968492299318314, 0.0264362134039402, 0.027570273727178574, -0.04952658340334892, 0.032374706119298935]"
lte,"[-0.0181724913418293, -0.02254584990441799, -0.009155701845884323, -0.02237830124795437, -0.023277688771486282]"
local,"[-0.0070425160229206085, -0.03508465364575386, 0.03219861164689064, 0.0020644664764404297, -0.038134049624204636]"
leader,"[-0.01112222671508789, -0.03226681798696518, 0.009094856679439545, 0.0012489557266235352, -0.026373613625764847]"
lama,"[0.029513005167245865, 0.0013483986258506775, -0.012762188911437988, 0.02186666801571846, 0.038804616779088974]"
ever,"[0.021828029304742813, -0.03580275923013687, -0.026944531127810478, 0.01880471780896187, 0.048496197909116745]"
champions,"[-0.011277150362730026, 0.026072118431329727, -0.042798664420843124, 0.00021616369485855103, -0.03537914901971817]"
weekend,"[-0.0440647266805172, -0.017448924481868744, -0.03825876861810684, 0.04659850522875786, -0.03995504230260849]"
party,"[0.012299370020627975, 0.02718343958258629, -0.0012360922992229462, 0.049117911607027054, 0.0006917007267475128]"
hotel,"[0.0037270784378051758, 0.02437673881649971, 0.013528082519769669, 0.043026234954595566, 0.04801514372229576]"
employees,"[0.030014920979738235, 0.03205353394150734, -0.008212853223085403, -0.027019191533327103, -0.04367513582110405]"
described,"[0.04487929120659828, -0.0360967293381691, 0.002082645893096924, 0.029993806034326553, 0.03164367750287056]"
11,"[-0.022467970848083496, -0.009893931448459625, -0.02798144891858101, 0.03310370817780495, 0.026696626096963882]"
georgia,"[-0.04766222462058067, -0.048169590532779694, -0.028676092624664307, 0.004072569310665131, 0.02401738241314888]"
mother,"[0.03412585332989693, -0.01866462081670761, -0.02866414748132229, 0.020733367651700974, 0.01754799857735634]"
lead,"[0.0401509664952755, -0.012342572212219238, -0.04380178451538086, 0.043151382356882095, -0.020873678848147392]"
school,"[-0.026803160086274147, -0.020691657438874245, -0.049696601927280426, 0.036056485027074814, -0.011670030653476715]"
forces,"[-0.011010251939296722, 0.03585566207766533, -0.036696888506412506, 0.0010301098227500916, -0.026143694296479225]"
data,"[-0.027263248339295387, 0.00896742194890976, -0.017113126814365387, -0.01705693081021309, -0.018597900867462158]"
again,"[-0.04364682361483574, 0.012602794915437698, 0.015356425195932388, 0.0008498057723045349, 0.012868452817201614]"
long,"[-0.017423272132873535, -0.013100922107696533, 0.0022828951478004456, -0.04143116623163223, -0.02422543801367283]"
high,"[0.049227599054574966, 0.012016557157039642, 0.03737887367606163, -0.014057446271181107, 0.0374947227537632]"
dont,"[0.003433454781770706, -0.012446485459804535, 0.046649444848299026, -0.016084276139736176, 0.04069502279162407]"
does,"[-0.009478986263275146, 0.04846395179629326, 0.0376322902739048, 0.023714672774076462, -0.016632378101348877]"
killing,"[0.03333166614174843, -0.0340755470097065, 0.00038748979568481445, -0.011754833161830902, 0.03803832456469536]"
food,"[0.012709464877843857, 0.010613538324832916, 0.004122603684663773, -0.024961650371551514, 0.01328270509839058]"
began,"[-0.0329786092042923, -0.011816274374723434, -0.02990635670721531, -0.0018473155796527863, 0.03369266912341118]"
taliban,"[-0.0017110593616962433, -0.015764355659484863, -0.023499298840761185, 0.037014927715063095, 0.04103057458996773]"
student,"[-0.007874108850955963, 0.046259235590696335, -0.03218327835202217, -0.03619384765625, 0.04760650172829628]"
moncier,"[-0.0174453966319561, 0.03601508215069771, -0.02707831934094429, 0.030962873250246048, -0.03984076902270317]"
knew,"[0.0467674620449543, -0.02501155249774456, 0.03935622051358223, 0.012696634978055954, -0.023270070552825928]"
fayed,"[-0.03675202280282974, 0.04866523668169975, 0.006605707108974457, -0.014339685440063477, 0.045456353574991226]"
face,"[-0.030220866203308105, 0.0416165329515934, 0.004143942147493362, 0.010932408273220062, 0.03326476737856865]"
times,"[-0.029672836884856224, 0.046355437487363815, 0.03942089155316353, 0.03810247406363487, 0.007319152355194092]"
lot,"[-0.021538853645324707, -0.0282114390283823, 0.03981030359864235, 0.020693454891443253, 0.014244545251131058]"
good,"[-0.008906088769435883, 0.02696983888745308, 0.020701203495264053, 0.02541596069931984, 0.04223668947815895]"
attacks,"[-0.009593047201633453, 0.013785231858491898, 0.037361446768045425, -0.02850254811346531, -0.04066925123333931]"
release,"[-0.01528102159500122, -0.04621937498450279, 0.02087951824069023, -0.0004991069436073303, -0.037529684603214264]"
clear,"[-0.042955588549375534, 0.018615413457155228, 0.033211421221494675, 0.02456660196185112, 0.0009610168635845184]"
academy,"[0.043112482875585556, -0.040544115006923676, -0.0373135581612587, -0.01681150123476982, -0.027785861864686012]"
message,"[0.04110531881451607, -0.04442788287997246, -0.037149786949157715, -0.041203487664461136, 0.046384457498788834]"
involved,"[-0.02592024765908718, 0.036804962903261185, -0.048265110701322556, -0.04491999372839928, -0.04256710037589073]"
important,"[0.025319207459688187, 0.04316837713122368, -0.02737346850335598, 0.032966408878564835, 0.02850845828652382]"
february,"[0.016143571585416794, 0.016434457153081894, 0.020650651305913925, 0.039785806089639664, -0.016360152512788773]"
class,"[0.001593124121427536, 0.026230957359075546, -0.04530167579650879, -0.036801327019929886, -0.04739190265536308]"
reports,"[0.031198572367429733, 0.04097110405564308, -0.015642844140529633, 0.003332376480102539, -0.007770787924528122]"
led,"[0.006128121167421341, -0.014357935637235641, 0.020488891750574112, -0.0007111802697181702, -0.003534555435180664]"
information,"[-0.02409585751593113, -0.02054675854742527, -0.01663895696401596, 0.034695710986852646, 0.0016512386500835419]"
continue,"[0.009377527981996536, 0.029332544654607773, -0.0054035186767578125, 0.01650378480553627, 0.04711798205971718]"
30,"[0.030356470495462418, 0.010711871087551117, -0.009861253201961517, 0.04164450243115425, -0.02723599784076214]"
25,"[-0.02519247494637966, -0.033897578716278076, 0.03397801145911217, -0.0055391304194927216, 0.04207538440823555]"
un,"[0.019752535969018936, -0.029051458463072777, 0.00971156358718872, -0.0175127275288105, 0.02313370630145073]"
town,"[0.019285332411527634, -0.031483449041843414, 0.044284526258707047, 0.007908739149570465, 0.009025253355503082]"
same,"[0.03112674131989479, 0.010400284081697464, 0.006717611104249954, 0.01865626499056816, 0.03410234674811363]"
point,"[-0.03764205053448677, -0.004885375499725342, 0.03377939388155937, 0.022826742380857468, 0.00909120962023735]"
night,"[0.016420554369688034, 0.03901214525103569, 0.027056720107793808, -0.004525184631347656, 0.01653771474957466]"
move,"[0.037526730448007584, -0.027725160121917725, 0.033072877675294876, -0.010489534586668015, -0.0444791205227375]"
might,"[-0.0062158480286598206, -0.02088940143585205, -0.008246563374996185, 0.005673456937074661, -0.006313394755125046]"
meeting,"[0.020723115652799606, 0.021917257457971573, -0.008145056664943695, -0.04135321453213692, -0.026084233075380325]"
kaka,"[-0.021192312240600586, 0.04260707274079323, -0.01910184696316719, 0.024686340242624283, 0.021959196776151657]"
himself,"[0.03806861862540245, -0.03242771700024605, 0.02837839350104332, 0.005966175347566605, -0.009823046624660492]"
despite,"[-0.01615888997912407, -0.036557387560606, 0.04938303306698799, 0.009529970586299896, 0.01874179020524025]"
2005,"[0.0182097889482975, -0.008467316627502441, 0.0452147014439106, 0.000385187566280365, 0.0315551795065403]"
showed,"[0.015595201402902603, 0.047960732132196426, 0.047457028180360794, -0.0162985697388649, -0.006933830678462982]"
oscar,"[0.027292121201753616, 0.04345310851931572, 0.036001551896333694, -0.0007224678993225098, 0.0020819194614887238]"
music,"[-0.020558154210448265, -0.01612837240099907, -0.014256022870540619, -0.005182124674320221, -0.025380147621035576]"
mazare,"[-0.03729837015271187, 0.014876160770654678, -0.0390532985329628, -0.011119343340396881, -0.03795354440808296]"
hes,"[-0.028824293985962868, -0.04313696548342705, -0.019263340160250664, 0.021901044994592667, -0.03336890786886215]"
auburn,"[-0.03453806787729263, -0.047371067106723785, -0.0016598589718341827, 0.025304827839136124, 0.02139708772301674]"
violence,"[0.010860003530979156, 0.026699211448431015, -0.010022629052400589, -0.02955329418182373, 0.03397085890173912]"
success,"[-0.04658384248614311, -0.03192615509033203, -0.039115916937589645, -0.014556623995304108, -0.005242504179477692]"
confirmed,"[-0.002908598631620407, -0.0067615509033203125, 0.0019111037254333496, 0.0025940537452697754, 0.010235678404569626]"
center,"[-0.030805373564362526, 0.03398339822888374, 0.0461481548845768, -0.0051479823887348175, 0.039487432688474655]"
set,"[-0.005570612847805023, 0.011898815631866455, -0.049695421010255814, 0.04359114542603493, 0.031056616455316544]"
paris,"[0.028663787990808487, 0.024960104376077652, -0.01794637367129326, -0.026315808296203613, 0.0024843700230121613]"
network,"[0.024601075798273087, -7.927417755126953e-06, -0.010524369776248932, -0.01127403974533081, -0.00434199720621109]"
michael,"[0.026641342788934708, -0.021494580432772636, 0.04461199417710304, -0.010599017143249512, -0.03833606094121933]"
give,"[0.04285958781838417, -0.010435592383146286, -0.03732696920633316, 0.006640482693910599, 0.02725181356072426]"
few,"[-0.0033435337245464325, 0.029044438153505325, -0.01379791647195816, -0.020357919856905937, -0.021918369457125664]"
every,"[0.011281181126832962, 0.02860582247376442, -0.009098909795284271, 0.018893782049417496, -0.047925423830747604]"
committee,"[0.04924846813082695, 0.031737711280584335, 0.006006322801113129, 0.011452533304691315, 0.048748377710580826]"
already,"[-0.040261160582304, -0.0074060335755348206, -0.003049291670322418, -0.0033182725310325623, 0.0046332478523254395]"
youre,"[0.003366280347108841, -0.0287149790674448, 0.039748694747686386, 0.04697321727871895, 0.020799044519662857]"
prison,"[0.049702491611242294, 0.012518439441919327, -0.007698524743318558, -0.004062782973051071, -0.014044426381587982]"
issue,"[-0.0305207259953022, -0.03611276298761368, -0.03743542358279228, -0.03179246187210083, 0.04424584284424782]"
contact,"[-0.042509209364652634, 0.01447099819779396, 0.03637102618813515, 0.03681477531790733, -0.0009235255420207977]"
bhutto,"[0.010923217982053757, 0.04930837079882622, 0.02763049677014351, -0.043570876121520996, -0.03056718222796917]"
along,"[-0.04450483247637749, 0.012784209102392197, 0.017858300358057022, 0.008361577987670898, 0.03469543531537056]"
side,"[0.018192265182733536, -0.006196092814207077, 0.014303278177976608, -0.017310403287410736, 0.047464143484830856]"
rebel,"[0.0006380081176757812, -0.00505133718252182, 0.009650003165006638, 0.018559489399194717, -0.026154959574341774]"
name,"[0.037798020988702774, -0.0317373052239418, -0.0017677545547485352, 0.04979504272341728, 0.041033755987882614]"
fashion,"[-0.013712666928768158, 0.04945880547165871, 0.010862518101930618, 0.02529599890112877, -0.03306317329406738]"
east,"[0.03243473544716835, 0.007094085216522217, 0.011601172387599945, 0.03001842275261879, 0.0007336735725402832]"
militants,"[-0.03823535516858101, 0.03669968619942665, -0.045169319957494736, 0.0055963024497032166, 0.03362399712204933]"
twitter,"[-0.009414851665496826, 0.007670700550079346, -0.041015662252902985, -0.011019028723239899, 0.04178005829453468]"
past,"[0.007013250142335892, 0.03371024504303932, 0.017433319240808487, 0.038927819579839706, 0.04006152227520943]"
london,"[-0.03358876705169678, 0.02723100408911705, 0.03683627024292946, 0.019233133643865585, 0.02760305628180504]"
indictment,"[-0.005187012255191803, 0.02357952669262886, 0.011312615126371384, 0.04419528320431709, 0.04420984908938408]"
girl,"[-0.04871794208884239, 0.014953229576349258, -0.04398096725344658, 0.014852073043584824, 0.003429185599088669]"
far,"[0.049625519663095474, 0.02198963239789009, 0.015743937343358994, 0.037069905549287796, -0.02630605734884739]"
workers,"[0.04676404967904091, -0.017508279532194138, -0.03717172145843506, 0.026128914207220078, 0.008549880236387253]"
talk,"[-0.009224902838468552, -0.010332275182008743, 0.003651212900876999, 0.01760656014084816, -0.044393837451934814]"
republicans,"[-0.0034067630767822266, -0.04334066063165665, -0.0017896778881549835, 0.027206886559724808, 0.03930087015032768]"
relationship,"[-0.02217691019177437, -0.020843064412474632, -0.048792362213134766, 0.0063134655356407166, -0.03711700439453125]"
midfielder,"[0.03033742681145668, 0.025542844086885452, -0.020591795444488525, 0.0023791901767253876, -0.008298706263303757]"
big,"[0.037495825439691544, -0.013079129159450531, 0.002667497843503952, 0.003940891474485397, 0.023441065102815628]"
someone,"[-0.015653301030397415, 0.006018362939357758, 0.027420412749052048, 0.005210995674133301, -0.02326582744717598]"
september,"[-0.024177003651857376, 0.012128520756959915, -0.049347151070833206, -0.0063151828944683075, 0.03634846583008766]"
response,"[-0.03013000451028347, -0.047769855707883835, -0.02174900844693184, -0.02012079954147339, 0.046220432966947556]"
play,"[0.03100670501589775, -0.049349118024110794, -0.048884596675634384, 0.027712073177099228, -0.022389663383364677]"
organization,"[0.003921974450349808, 0.005584023892879486, -0.0037840716540813446, -0.030186712741851807, -0.0365152470767498]"
moved,"[-0.04063927009701729, -0.03951781988143921, -0.04353335127234459, -0.019561899825930595, -0.007566787302494049]"
love,"[-0.023421848192811012, 0.04213776811957359, 0.017007384449243546, -0.035040996968746185, 0.027305569499731064]"
khan,"[-0.038835309445858, -0.04747956991195679, -0.04952322319149971, -0.04711763933300972, -0.0015208609402179718]"
iditarod,"[0.03270688280463219, 0.02910468354821205, -0.015955887734889984, -0.002828706055879593, 0.024231065064668655]"
